#,Operator Name,Passport Tran #,Merchant Tran #,parker_id,zone_id,Zone Name,Space/LPN,Entry Time,Exit Time,Parking Revenue,Conv. Revenue,Validation Revenue,Transaction Fee,Net Revenue,Pymt Type,CC Type,Method,operator_id,billingtype,billingtype_id
1,Mordor,1234,1234,1,1,NotZone,ZZZZZZ,9/16/15 23:12,9/17/15 0:00,$2.20 ,$0.20 ,$0.00 ,$0.20 ,$2.00 ,Credit/Debit Card,Visa,web,64,Credit/Debit Card,1
2,Bingtown,1234,1234,1,1,NotZone,ZZZZZZ,9/16/15 23:58,9/17/15 7:05,$5.00 ,$0.00 ,$0.00 ,$0.10 ,$4.90 ,Zone Cash,,app,64,Credit/Debit Card,1
3,Divvytown,1234,1234,1,1,NotZone,ZZZZZZ,9/16/15 23:57,9/17/15 7:05,$6.00 ,$0.00 ,$0.00 ,$0.10 ,$5.90 ,Zone Cash,,app,64,Credit/Debit Card,1
4,Isengaard,1234,1234,2,2,NotZone,ZZZZZZ,9/16/15 23:54,9/17/15 5:54,$6.20 ,$0.20 ,$0.00 ,$0.15 ,$6.05 ,Credit/Debit Card,Mastercard,app,64,Zone Cash,2
5,Rain Wilds,1234,1234,2,3,NotZone,ZZZZZZ,9/16/15 23:55,9/17/15 5:05,$6.00 ,$0.00 ,$0.00 ,$0.10 ,$5.90 ,Credit/Debit Card,,app,64,Credit/Debit Card,1
6,Emerald City,1234,1234,3,4,NotZone,ZZZZZZ,9/16/15 23:45,9/17/15 7:05,$5.00 ,$0.00 ,$0.00 ,$0.10 ,$4.90 ,Zone Cash,,app,64,Paypal,5
7,The Shire,1234,1234,4,100,NotZone,ZZZZZZ,9/16/15 23:36,9/17/15 8:05,$11.00 ,$0.00 ,$0.00 ,$0.20 ,$10.80 ,Zone Cash,,app,64,Zone Cash,2
8,ISS,1234,1234,4,101,NotZone,ZZZZZZ,9/16/15 23:31,9/17/15 8:21,$12.05 ,$0.00 ,$0.00 ,$0.10 ,$11.95 ,Zone Cash,,app,64,Zone Cash,2
9,Atlantis,1234,1234,4,100,NotZone,ZZZZZZ,9/16/15 23:30,9/17/15 7:05,$5.00 ,$0.00 ,$0.00 ,$0.10 ,$4.90 ,Zone Cash,,app,64,Validation,3
10,Arkham,1234,1234,4,100,NotZone,ZZZZZZ,9/16/15 23:21,9/17/15 0:51,$1.70 ,$0.20 ,$0.00 ,$0.15 ,$1.55 ,Credit/Debit Card,Visa,app,64,Free,6
